192.168.2.21 - - [05/Jul/2018:13:30:03 +0800] "GET /hp/device/InternalPages/Index?id=ConfigurationPage HTTP/1.1" 404 161
127.0.0.1 - - [05/Jul/2018:14:45:56 +0800] "GET /collect?v=1&_v=j43&a=1772191039&t=event&_s=5&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=822186832 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:14:45:56 +0800] "GET /collect?v=1&_v=j43&a=1772191039&t=event&_s=6&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=981853003 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:12:47 +0800] "GET /pagead/js/adsbygoogle.js HTTP/1.1" 404 156
127.0.0.1 - - [05/Jul/2018:15:12:53 +0800] "GET /pagead/js/adsbygoogle.js HTTP/1.1" 404 156
127.0.0.1 - - [05/Jul/2018:15:12:59 +0800] "GET /pagead/js/adsbygoogle.js HTTP/1.1" 404 156
127.0.0.1 - - [05/Jul/2018:15:13:12 +0800] "GET /pagead/js/adsbygoogle.js HTTP/1.1" 404 156
127.0.0.1 - - [05/Jul/2018:15:13:16 +0800] "GET /pagead/js/adsbygoogle.js HTTP/1.1" 404 156
127.0.0.1 - - [05/Jul/2018:15:13:29 +0800] "GET /pagead/js/adsbygoogle.js HTTP/1.1" 404 156
127.0.0.1 - - [05/Jul/2018:15:14:09 +0800] "GET /pagead/js/adsbygoogle.js HTTP/1.1" 404 156
127.0.0.1 - - [05/Jul/2018:15:14:26 +0800] "GET /pagead/js/adsbygoogle.js HTTP/1.1" 404 156
127.0.0.1 - - [05/Jul/2018:15:38:24 +0800] "GET /collect?v=1&_v=j43&a=913996512&t=event&_s=4&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=1991645131 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:38:24 +0800] "GET /collect?v=1&_v=j43&a=913996512&t=event&_s=2&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=source&ea=show&el=ui&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=1475376017 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:38:24 +0800] "GET /collect?v=1&_v=j43&a=913996512&t=pageview&_s=3&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=1867680920 HTTP/1.1" 404 139
